
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   300
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             7
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        35.60 :     100:         0.36 :  114.11
Trial    2:        15.49 :     100:         0.15 :  102.41
Trial    3:        35.15 :     100:         0.35 :  107.56
Trial    4:        37.77 :     100:         0.38 :  110.10
Trial    5:        35.71 :     100:         0.36 :  114.55
Trial    6:        35.38 :     100:         0.35 :  115.68
Trial    7:        33.06 :     100:         0.33 :  112.48
Trial    8:        17.01 :     100:         0.17 :  112.06
Trial    9:        34.95 :     100:         0.35 :  113.73
Trial   10:        21.96 :     100:         0.22 :  106.77
Trial   11:        35.70 :     100:         0.36 :  115.70
Trial   12:        35.50 :     100:         0.36 :  116.37
Trial   13:        35.64 :     100:         0.36 :  118.07
Trial   14:        20.74 :     100:         0.21 :  114.46
Trial   15:        10.17 :     100:         0.10 :  108.57
Trial   16:        35.11 :     100:         0.35 :  111.35
Trial   17:        35.67 :     100:         0.36 :  115.45
Trial   18:        12.32 :     100:         0.12 :  114.09
Trial   19:        35.19 :     100:         0.35 :  115.29
Trial   20:        12.53 :     100:         0.13 :  113.59
-----------------------------------
Trials AVE:        28.53 :  100.00:         0.29 :  112.62
Trials STD:         9.98 :    0.00:         0.10 :    3.84
Trials MED:        35.13 :  100.00:         0.35 :  113.91
Trials L95:        20.74 :  100.00:         0.21 :  111.35
Trials U95:        35.60 :  100.00:         0.36 :  115.29
Trials MIN:        10.17 :  100.00:         0.10 :  102.41
Trials MAX:        37.77 :  100.00:         0.38 :  118.07
