
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  mppi
Num samples                   900
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        29.44 :     100:         0.29 :   30.53
Trial    2:        28.69 :     100:         0.29 :   31.34
Trial    3:        29.03 :     100:         0.29 :   31.07
Trial    4:        31.10 :     100:         0.31 :   30.73
Trial    5:        29.85 :     100:         0.30 :   30.55
Trial    6:        29.85 :     100:         0.30 :   31.47
Trial    7:        30.50 :     100:         0.31 :   31.75
Trial    8:        30.09 :     100:         0.30 :   30.76
Trial    9:        28.54 :     100:         0.29 :   31.27
Trial   10:        29.94 :     100:         0.30 :   30.53
Trial   11:        30.15 :     100:         0.30 :   30.68
Trial   12:        29.41 :     100:         0.29 :   30.53
Trial   13:        29.55 :     100:         0.30 :   30.90
Trial   14:        28.01 :     100:         0.28 :   31.43
Trial   15:        30.39 :     100:         0.30 :   30.76
Trial   16:        30.49 :     100:         0.30 :   30.46
Trial   17:        29.05 :     100:         0.29 :   31.03
Trial   18:        30.33 :     100:         0.30 :   30.94
Trial   19:        30.54 :     100:         0.31 :   30.65
Trial   20:        29.25 :     100:         0.29 :   31.20
-----------------------------------
Trials AVE:        29.71 :  100.00:         0.30 :   30.93
Trials STD:         0.79 :    0.00:         0.01 :    0.38
Trials MED:        29.85 :  100.00:         0.30 :   30.83
Trials L95:        29.25 :  100.00:         0.29 :   30.65
Trials U95:        30.33 :  100.00:         0.30 :   31.20
Trials MIN:        28.01 :  100.00:         0.28 :   30.46
Trials MAX:        31.10 :  100.00:         0.31 :   31.75
