
Env Name:                     Swimmer-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  mppi
Num samples                   1500
Horizon                       50
λ (inverse temp):             0.50
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        38.40 :     250:         0.15 :  333.48
Trial    2:        33.50 :     250:         0.13 :  337.17
Trial    3:        34.25 :     250:         0.14 :  335.92
Trial    4:        35.28 :     250:         0.14 :  337.96
Trial    5:        36.08 :     250:         0.14 :  332.48
Trial    6:        38.05 :     250:         0.15 :  330.72
Trial    7:        39.05 :     250:         0.16 :  330.46
Trial    8:        36.16 :     250:         0.14 :  338.56
Trial    9:        37.27 :     250:         0.15 :  329.02
Trial   10:        36.26 :     250:         0.15 :  338.29
-----------------------------------
Trials AVE:        36.43 :  250.00:         0.15 :  334.40
Trials STD:         1.79 :    0.00:         0.01 :    3.62
Trials MED:        36.21 :  250.00:         0.14 :  334.70
Trials L95:        34.25 :  250.00:         0.14 :  330.46
Trials U95:        38.40 :  250.00:         0.15 :  338.29
Trials MIN:        33.50 :  250.00:         0.13 :  329.02
Trials MAX:        39.05 :  250.00:         0.16 :  338.56
