Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   600
Horizon                       50
λ (inverse temp):             0.10
α (control cost param):       1.00
# AIS Iterations:             5
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        33.03 :     100:         0.33 :  149.05
Trial    2:        35.56 :     100:         0.36 :  150.66
Trial    3:         9.31 :     100:         0.09 :  143.99
Trial    4:        34.37 :     100:         0.34 :  144.46
Trial    5:        11.47 :     100:         0.11 :  142.64
Trial    6:        35.16 :     100:         0.35 :  145.07
Trial    7:        39.34 :     100:         0.39 :  143.36
Trial    8:        35.09 :     100:         0.35 :  146.61
Trial    9:        29.67 :     100:         0.30 :  139.88
Trial   10:        23.38 :     100:         0.23 :  151.00
Trial   11:        35.54 :     100:         0.36 :  143.18
Trial   12:        36.95 :     100:         0.37 :  137.17
Trial   13:        14.86 :     100:         0.15 :  147.15
Trial   14:        34.80 :     100:         0.35 :  151.06
Trial   15:        37.08 :     100:         0.37 :  140.93
Trial   16:        22.57 :     100:         0.23 :  148.22
Trial   17:        41.12 :     100:         0.41 :  135.64
Trial   18:        17.40 :     100:         0.17 :  144.39
Trial   19:        35.21 :     100:         0.35 :  145.43
Trial   20:        34.36 :     100:         0.34 :  139.58
-----------------------------------
Trials AVE:        29.81 :  100.00:         0.30 :  144.47
Trials STD:         9.68 :    0.00:         0.10 :    4.40
Trials MED:        34.58 :  100.00:         0.35 :  144.43
Trials L95:        23.38 :  100.00:         0.23 :  142.64
Trials U95:        35.54 :  100.00:         0.36 :  147.15
Trials MIN:         9.31 :  100.00:         0.09 :  135.64
Trials MAX:        41.12 :  100.00:         0.41 :  151.06
