
Env Name:                     Swimmer-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  cemppi
Num samples                   200
Horizon                       50
λ (inverse temp):             0.50
α (control cost param):       1.00
# AIS Iterations:             5
CE Elite Threshold:           0.80
CE Σ Est Method:              mle
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        46.71 :     250:         0.19 :  285.54
Trial    2:        43.90 :     250:         0.18 :  278.63
Trial    3:        40.29 :     250:         0.16 :  286.93
Trial    4:        54.74 :     250:         0.22 :  282.33
Trial    5:        45.86 :     250:         0.18 :  284.94
Trial    6:        44.89 :     250:         0.18 :  293.45
Trial    7:        44.10 :     250:         0.18 :  279.26
Trial    8:        46.88 :     250:         0.19 :  287.66
Trial    9:        52.02 :     250:         0.21 :  279.29
Trial   10:        45.32 :     250:         0.18 :  288.40
-----------------------------------
Trials AVE:        46.47 :  250.00:         0.19 :  284.64
Trials STD:         4.14 :    0.00:         0.02 :    4.78
Trials MED:        45.59 :  250.00:         0.18 :  285.24
Trials L95:        43.90 :  250.00:         0.18 :  279.26
Trials U95:        52.02 :  250.00:         0.21 :  288.40
Trials MIN:        40.29 :  250.00:         0.16 :  278.63
Trials MAX:        54.74 :  250.00:         0.22 :  293.45
