
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  mppi
Num samples                   1000
Horizon                       50
λ (inverse temp):             0.50
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        31.53 :     100:         0.32 :   53.89
Trial    2:        33.51 :     100:         0.34 :   53.96
Trial    3:        31.68 :     100:         0.32 :   54.66
Trial    4:        30.48 :     100:         0.30 :   54.71
Trial    5:        34.02 :     100:         0.34 :   54.03
Trial    6:        29.09 :     100:         0.29 :   54.35
Trial    7:        33.42 :     100:         0.33 :   53.96
Trial    8:        31.73 :     100:         0.32 :   54.56
Trial    9:        32.37 :     100:         0.32 :   53.88
Trial   10:        30.48 :     100:         0.30 :   54.66
Trial   11:        32.96 :     100:         0.33 :   54.34
Trial   12:        31.13 :     100:         0.31 :   54.25
Trial   13:        33.91 :     100:         0.34 :   53.64
Trial   14:        30.60 :     100:         0.31 :   54.96
Trial   15:        31.21 :     100:         0.31 :   54.86
Trial   16:        31.69 :     100:         0.32 :   54.15
Trial   17:        31.89 :     100:         0.32 :   54.09
Trial   18:        32.35 :     100:         0.32 :   54.77
Trial   19:        31.48 :     100:         0.31 :   54.75
Trial   20:        33.66 :     100:         0.34 :   53.99
-----------------------------------
Trials AVE:        31.96 :  100.00:         0.32 :   54.32
Trials STD:         1.32 :    0.00:         0.01 :    0.39
Trials MED:        31.71 :  100.00:         0.32 :   54.30
Trials L95:        31.21 :  100.00:         0.31 :   53.99
Trials U95:        32.96 :  100.00:         0.33 :   54.66
Trials MIN:        29.09 :  100.00:         0.29 :   53.64
Trials MAX:        34.02 :  100.00:         0.34 :   54.96
