Env Name:                     Ant-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   600
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             5
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000 0.5000 0.5000 0.5000 0.5000 0.5000 0.5000 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:       448.30 :     100:         4.48 :  647.50
Trial    2:       473.06 :     100:         4.73 :  638.44
Trial    3:       510.18 :     100:         5.10 :  639.12
Trial    4:       506.79 :     100:         5.07 :  635.30
Trial    5:       496.58 :     100:         4.97 :  639.89
Trial    6:       467.26 :     100:         4.67 :  641.21
Trial    7:       460.33 :     100:         4.60 :  637.80
Trial    8:       501.27 :     100:         5.01 :  636.93
Trial    9:       609.70 :     100:         6.10 :  638.62
Trial   10:       524.91 :     100:         5.25 :  635.13
Trial   11:       486.99 :     100:         4.87 :  639.23
Trial   12:       409.12 :     100:         4.09 :  642.43
Trial   13:       348.59 :     100:         3.49 :  642.17
Trial   14:       371.46 :     100:         3.71 :  645.73
Trial   15:       523.79 :     100:         5.24 :  640.47
Trial   16:       352.49 :     100:         3.52 :  638.38
Trial   17:       452.57 :     100:         4.53 :  642.67
Trial   18:       483.09 :     100:         4.83 :  637.75
Trial   19:       480.76 :     100:         4.81 :  635.90
Trial   20:       425.62 :     100:         4.26 :  638.17
-----------------------------------
Trials AVE:       466.64 :  100.00:         4.67 :  639.64
Trials STD:        62.93 :    0.00:         0.63 :    3.24
Trials MED:       476.91 :  100.00:         4.77 :  638.87
Trials L95:       448.30 :  100.00:         4.48 :  637.80
Trials U95:       501.27 :  100.00:         5.01 :  641.21
Trials MIN:       348.59 :  100.00:         3.49 :  635.13
Trials MAX:       609.70 :  100.00:         6.10 :  647.50
