
Env Name:                     Swimmer-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  cemppi
Num samples                   187
Horizon                       50
λ (inverse temp):             0.50
α (control cost param):       1.00
# AIS Iterations:             8
CE Elite Threshold:           0.80
CE Σ Est Method:              mle
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        54.29 :     250:         0.22 :  342.95
Trial    2:        56.19 :     250:         0.22 :  346.68
Trial    3:        52.33 :     250:         0.21 :  351.79
Trial    4:        45.63 :     250:         0.18 :  345.17
Trial    5:        47.91 :     250:         0.19 :  336.34
Trial    6:        56.33 :     250:         0.23 :  347.91
Trial    7:        55.81 :     250:         0.22 :  355.00
Trial    8:        54.01 :     250:         0.22 :  353.26
Trial    9:        54.88 :     250:         0.22 :  358.72
Trial   10:        51.96 :     250:         0.21 :  343.05
-----------------------------------
Trials AVE:        52.93 :  250.00:         0.21 :  348.09
Trials STD:         3.61 :    0.00:         0.01 :    6.68
Trials MED:        54.15 :  250.00:         0.22 :  347.29
Trials L95:        47.91 :  250.00:         0.19 :  342.95
Trials U95:        56.19 :  250.00:         0.22 :  355.00
Trials MIN:        45.63 :  250.00:         0.18 :  336.34
Trials MAX:        56.33 :  250.00:         0.23 :  358.72
