
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  mppi
Num samples                   2100
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.5000 0.5000
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        31.18 :     100:         0.31 :  114.95
Trial    2:        29.47 :     100:         0.29 :  114.37
Trial    3:        29.92 :     100:         0.30 :  114.78
Trial    4:        29.44 :     100:         0.29 :  113.92
Trial    5:        29.35 :     100:         0.29 :  114.38
Trial    6:        31.12 :     100:         0.31 :  113.01
Trial    7:        29.50 :     100:         0.30 :  112.84
Trial    8:        30.17 :     100:         0.30 :  112.75
Trial    9:        31.11 :     100:         0.31 :  113.92
Trial   10:        30.73 :     100:         0.31 :  112.96
Trial   11:        30.97 :     100:         0.31 :  113.57
Trial   12:        28.24 :     100:         0.28 :  113.44
Trial   13:        30.22 :     100:         0.30 :  113.56
Trial   14:        30.26 :     100:         0.30 :  114.15
Trial   15:        28.75 :     100:         0.29 :  112.91
Trial   16:        30.06 :     100:         0.30 :  113.78
Trial   17:        28.91 :     100:         0.29 :  115.04
Trial   18:        30.98 :     100:         0.31 :  113.71
Trial   19:        30.72 :     100:         0.31 :  112.83
Trial   20:        30.60 :     100:         0.31 :  114.53
-----------------------------------
Trials AVE:        30.08 :  100.00:         0.30 :  113.77
Trials STD:         0.87 :    0.00:         0.01 :    0.74
Trials MED:        30.20 :  100.00:         0.30 :  113.74
Trials L95:        29.47 :  100.00:         0.29 :  113.01
Trials U95:        30.73 :  100.00:         0.31 :  114.37
Trials MIN:        28.24 :  100.00:         0.28 :  112.75
Trials MAX:        31.18 :  100.00:         0.31 :  115.04
