
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   300
Horizon                       50
λ (inverse temp):             0.50
α (control cost param):       1.00
# AIS Iterations:             5
CE Elite Threshold:           0.80
CE Σ Est Method:              mle
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        33.01 :     100:         0.33 :  106.84
Trial    2:        35.70 :     100:         0.36 :  100.29
Trial    3:        34.72 :     100:         0.35 :  101.57
Trial    4:        34.35 :     100:         0.34 :  100.06
Trial    5:        35.02 :     100:         0.35 :  100.40
Trial    6:        34.54 :     100:         0.35 :  101.25
Trial    7:        35.49 :     100:         0.35 :  101.40
Trial    8:        39.77 :     100:         0.40 :   93.20
Trial    9:        35.32 :     100:         0.35 :  100.16
Trial   10:        34.87 :     100:         0.35 :  100.61
Trial   11:        35.28 :     100:         0.35 :   99.98
Trial   12:        32.41 :     100:         0.32 :   99.90
Trial   13:        41.99 :     100:         0.42 :   91.89
Trial   14:        33.82 :     100:         0.34 :   99.02
Trial   15:        35.40 :     100:         0.35 :  100.25
Trial   16:        35.07 :     100:         0.35 :  100.91
Trial   17:        34.94 :     100:         0.35 :   99.64
Trial   18:        34.77 :     100:         0.35 :   98.12
Trial   19:        35.30 :     100:         0.35 :  101.04
Trial   20:        34.12 :     100:         0.34 :  100.71
-----------------------------------
Trials AVE:        35.29 :  100.00:         0.35 :   99.86
Trials STD:         2.11 :    0.00:         0.02 :    3.01
Trials MED:        34.98 :  100.00:         0.35 :  100.27
Trials L95:        34.54 :  100.00:         0.35 :   99.90
Trials U95:        35.32 :  100.00:         0.35 :  100.91
Trials MIN:        32.41 :  100.00:         0.32 :   91.89
Trials MAX:        41.99 :  100.00:         0.42 :  106.84
