
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    200
Policy Type:                  mppi
Num samples                   50
Horizon                       50
λ (inverse temp):             0.50
α (control cost param):       1.00
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        30.93 :     200:         0.15 :   14.59
Trial    2:        35.02 :     200:         0.18 :   14.62
Trial    3:        34.92 :     200:         0.17 :   14.66
Trial    4:        33.43 :     200:         0.17 :   14.93
Trial    5:        34.92 :     200:         0.17 :   14.58
Trial    6:        31.51 :     200:         0.16 :   14.87
Trial    7:        32.53 :     200:         0.16 :   14.74
Trial    8:        30.87 :     200:         0.15 :   14.94
Trial    9:        30.58 :     200:         0.15 :   14.85
Trial   10:        36.30 :     200:         0.18 :   14.78
Trial   11:        35.58 :     200:         0.18 :   14.72
Trial   12:        33.34 :     200:         0.17 :   14.75
Trial   13:        41.67 :     200:         0.21 :   14.66
Trial   14:        35.88 :     200:         0.18 :   14.88
Trial   15:        31.74 :     200:         0.16 :   14.90
Trial   16:        31.12 :     200:         0.16 :   14.56
Trial   17:        31.21 :     200:         0.16 :   14.76
Trial   18:        35.20 :     200:         0.18 :   14.80
Trial   19:        32.26 :     200:         0.16 :   14.61
Trial   20:        32.97 :     200:         0.16 :   14.94
-----------------------------------
Trials AVE:        33.60 :  200.00:         0.17 :   14.76
Trials STD:         2.68 :    0.00:         0.01 :    0.13
Trials MED:        33.15 :  200.00:         0.17 :   14.76
Trials L95:        31.51 :  200.00:         0.16 :   14.66
Trials U95:        35.02 :  200.00:         0.18 :   14.87
Trials MIN:        30.58 :  200.00:         0.15 :   14.56
Trials MAX:        41.67 :  200.00:         0.21 :   14.94
