
Env Name:                     Swimmer-v4
Num Trails:                   10
Num Steps:                    250
Policy Type:                  cemppi
Num samples                   100
Horizon                       50
λ (inverse temp):             0.50
α (control cost param):       1.00
# AIS Iterations:             5
CE Elite Threshold:           0.80
CE Σ Est Method:              mle
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500 
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        45.71 :     250:         0.18 :  219.48
Trial    2:        53.96 :     250:         0.22 :  215.88
Trial    3:        48.73 :     250:         0.19 :  215.35
Trial    4:        45.24 :     250:         0.18 :  216.08
Trial    5:        53.52 :     250:         0.21 :  209.73
Trial    6:        52.98 :     250:         0.21 :  216.46
Trial    7:        47.68 :     250:         0.19 :  213.00
Trial    8:        54.52 :     250:         0.22 :  209.24
Trial    9:        51.87 :     250:         0.21 :  214.39
Trial   10:        55.07 :     250:         0.22 :  211.15
-----------------------------------
Trials AVE:        50.93 :  250.00:         0.20 :  214.08
Trials STD:         3.74 :    0.00:         0.01 :    3.26
Trials MED:        52.43 :  250.00:         0.21 :  214.87
Trials L95:        45.71 :  250.00:         0.18 :  209.73
Trials U95:        54.52 :  250.00:         0.22 :  216.46
Trials MIN:        45.24 :  250.00:         0.18 :  209.24
Trials MAX:        55.07 :  250.00:         0.22 :  219.48
