
Env Name:                     Swimmer-v4
Num Trails:                   20
Num Steps:                    100
Policy Type:                  cemppi
Num samples                   300
Horizon                       50
λ (inverse temp):             1.00
α (control cost param):       1.00
# AIS Iterations:             5
CE Elite Threshold:           0.80
CE Σ Est Method:              ss
U₀                            [0.0000, ..., 0.0000]
Σ                             0.2500 0.2500
Seed:                         1

Trial    #:       Reward :   Steps:  Reward/Step : Ex Time
Trial    1:        34.71 :     100:         0.35 :  107.31
Trial    2:        35.13 :     100:         0.35 :  101.84
Trial    3:        35.43 :     100:         0.35 :  101.25
Trial    4:        35.40 :     100:         0.35 :  101.39
Trial    5:        35.82 :     100:         0.36 :  100.93
Trial    6:        34.83 :     100:         0.35 :  101.66
Trial    7:        34.60 :     100:         0.35 :  102.15
Trial    8:        35.22 :     100:         0.35 :  102.31
Trial    9:        23.25 :     100:         0.23 :  100.83
Trial   10:        35.43 :     100:         0.35 :  102.23
Trial   11:        35.18 :     100:         0.35 :  101.53
Trial   12:        35.21 :     100:         0.35 :  101.14
Trial   13:        34.77 :     100:         0.35 :  102.39
Trial   14:        20.93 :     100:         0.21 :   99.95
Trial   15:        34.86 :     100:         0.35 :  102.34
Trial   16:        33.38 :     100:         0.33 :  101.48
Trial   17:        39.24 :     100:         0.39 :   98.04
Trial   18:        34.88 :     100:         0.35 :  101.61
Trial   19:        34.94 :     100:         0.35 :  101.91
Trial   20:        35.35 :     100:         0.35 :  101.82
-----------------------------------
Trials AVE:        33.93 :  100.00:         0.34 :  101.70
Trials STD:         4.20 :    0.00:         0.04 :    1.65
Trials MED:        35.04 :  100.00:         0.35 :  101.64
Trials L95:        34.77 :  100.00:         0.35 :  101.25
Trials U95:        35.35 :  100.00:         0.35 :  102.15
Trials MIN:        20.93 :  100.00:         0.21 :   98.04
Trials MAX:        39.24 :  100.00:         0.39 :  107.31
